Protein IDs,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_1_1, Alpha _day_1_2, Alpha _day_10_1, Alpha _day_10_2, Alpha _day_30_1, Alpha _day_30_2
Q8T9H0;Q9VIJ3,0.445196982,0.417920008,0.307311939,0.705048971,#VALUE!,0.156914315,#VALUE!,0.454175893,0.852158684,#VALUE!,0.370164281,0.629100118,#VALUE!,0.308477377,0.23511432,0.333080194
Q961E7;Q9I7D0,-1.392818846,-1.668913951,-1.591701173,-1.723896444,-0.841068436,#VALUE!,-1.683298145,-1.812333587,-1.118758268,#VALUE!,#VALUE!,#VALUE!,-1.600336696,-1.293394303,-1.736100237,-1.496223863
Q9VUZ0,0.800413313,0.543099892,1.026800059,1.046630748,0.735522177,0.411860074,1.13796249,1.092004418,1.870581724,1.951998017,0.241962182,0.139862368,1.176960992,1.083860095,1.253021096,1.346077535
Q07171;Q07171-3,-0.542038056,-0.521597622,-0.095666201,-0.065521241,-0.426276477,-0.463768018,-0.03787302,-0.108378617,0.318114344,0.301821736,-0.379057065,-0.407459244,-0.192249422,-0.073423619,-0.301034804,-0.288416993
Q7K5N8;A1ZAU4,-1.692594791,-1.809498917,-1.477100581,-1.61241688,-1.464265523,-1.817155179,-1.419661526,-1.418658395,-0.785203752,-0.834879148,-1.520810837,-1.54670895,-1.550718608,-1.495450791,-1.406521926,-1.555078549
P36241,-1.907143089,-1.7358119,-0.954361328,-1.05853306,-1.99786639,-2.166567432,-0.862103068,-0.687590399,-0.140555164,-0.322920289,-2.057271569,-1.922210111,-0.930105395,-0.966855432,-0.76221604,-0.42575314
Q9VG42,0.339935493,#VALUE!,-0.425423728,-0.148688705,#VALUE!,#VALUE!,-1.292157197,-1.025999405,-1.082468949,-1.171595888,#VALUE!,#VALUE!,-0.61508815,-0.225193968,-1.707124037,-1.914194664
A1Z892,1.384712962,1.066605884,1.830579853,1.739372885,1.525718114,1.12465899,1.624943098,1.727528424,2.013104892,2.065710164,1.404739666,1.384160354,1.361150731,1.415704591,1.385927957,1.427606173
Q9V9A7,-0.490071116,-0.042323085,#VALUE!,-0.784905433,-0.550951088,#VALUE!,#VALUE!,-1.348206624,-0.989563871,-1.401901632,#VALUE!,-0.56817382,-1.911641269,-1.020369712,-1.623042886,-1.26375016
Q9VUW2,-0.332225929,-0.761775657,-0.859352207,-0.467872586,0.137110008,#VALUE!,-0.827486882,-0.744994854,-0.303115909,-0.700966398,-0.273343137,-0.373495447,-0.587858008,-0.568259383,-0.952182452,-0.89081331
P41092,-1.572265117,-1.459337847,-0.39166385,-0.252054107,-1.420472256,-1.681862512,-0.232141841,-0.232328254,0.93561061,0.820076821,-1.340185018,-1.307644224,-0.271356746,-0.127793752,0.285698126,0.199750857
Q9V521;Q9W1V6,-0.447819696,-0.525475697,-0.793431788,-0.778531199,-0.14138237,-0.22956841,-0.921499465,-0.759624606,0.224163787,0.176705738,0.268434394,0.010350188,-1.081674833,-0.898565067,-0.433311468,-0.206495269
Q9V7Y2,-1.177098574,-0.635270701,-1.393084058,-1.414652832,-1.200017506,-0.432532433,-1.620157273,-1.165628567,-1.314912044,-1.608760192,-1.231921565,-1.100422173,-1.327529398,-1.243386571,-1.975283173,-1.433506292
Q9W5B5,#VALUE!,#VALUE!,-1.257907532,-1.087304154,#VALUE!,#VALUE!,-0.968887159,-2.0289697,-1.31211515,-0.548606873,#VALUE!,#VALUE!,-1.518535716,-2.043824367,-1.9761911,-1.44988737
P55162,-2.135047264,-2.221152237,-0.484267366,#VALUE!,-2.291521384,-2.332062472,#VALUE!,#VALUE!,-1.63017062,-1.39232644,-1.96516451,-1.770190614,-1.924125133,#VALUE!,-2.302653182,-2.389262147
A1Z722,0.410123978,0.175045486,-0.597583419,0.151079473,-0.073727255,0.269033146,-0.621887948,-1.080484478,-0.177392206,-0.590571045,0.209640514,-0.28753628,-0.925302765,-0.360230689,-0.851885879,-0.035830591
Q7KV94;Q7KV91;Q7KV95;Q9W004,-0.23633348,#VALUE!,-1.386732394,-1.436158521,0.281787257,-0.321351132,-1.958981361,-2.039191775,-1.474652716,-1.546161126,1.004177761,0.620492574,-1.818324939,-1.773244877,-2.14963261,-1.81365158
O96553;O96553-2,-0.072467584,0.182310918,-1.234567095,-1.254014081,0.413377445,0.119422583,-1.625400049,-1.657217718,-0.66389946,-0.658446842,0.346644922,0.235604533,-1.761115334,-1.739516609,-1.339199134,-1.317498614
Q9VN86,-1.13517401,-1.201509795,-1.22610492,-0.579576886,-1.046027092,-1.286374562,-1.195748146,-1.133147397,-0.802411351,-1.338724689,-0.567767467,-0.819037431,-1.479834253,-1.309395176,-1.481323872,-1.283772894
P36951,0.786930861,0.510253053,-0.192068115,-0.219773903,1.000937447,0.711759193,-0.345582791,-0.482049107,0.568518598,0.697951699,0.748547105,0.765110362,-0.560536432,-0.577379462,-0.112240798,0.165172318
Q9W3N1,-0.055486343,0.438931542,-0.545129253,-0.570292992,0.09963185,-0.147889268,-0.480357457,-0.238850917,0.349591743,0.201257457,0.322620422,0.370833848,-0.176413665,-0.34243316,-0.345454474,-0.321892028
Q9VBU0;Q9VBT8,#VALUE!,#VALUE!,#VALUE!,-0.804753205,#VALUE!,#VALUE!,#VALUE!,-0.340440727,-0.367899333,-0.712669558,#VALUE!,#VALUE!,0.700262145,1.290719283,-1.075702446,1.39758394
Q9VN71,1.097947836,1.215927048,0.286053134,0.669117498,0.854634043,1.761115034,0.585058677,0.39176772,0.901880564,1.100977648,1.307778227,1.449851865,0.452384576,0.11196609,0.192067884,0.187894405
Q53ZT0;Q24133,-1.328942189,-1.17948198,-0.653400461,-0.858227176,-1.627404442,-1.313441206,-1.086017264,-0.803342601,-0.269773078,-0.81840126,-1.627047902,-1.285213779,-0.866752139,-0.900906821,-0.982819222,-1.130934044
Q9W335,-0.108440828,-0.195830766,0.700084549,0.788351618,0.01306915,-0.086951677,0.848237336,0.586212295,1.247137612,1.256467242,0.183835831,-0.081476373,0.884402553,1.010350188,0.528771332,0.851998837
Q9VM12,0.257734802,0.321466359,0.146133829,0.157302466,0.689835877,0.56315813,0.512378608,0.468739698,1.268853547,1.525216969,0.047259175,0.355580147,0.164400135,0.01564029,0.550408193,0.720015735
Q9VIE7,-2.377144596,-2.009553348,-1.205230652,-1.705946884,-2.35882394,-2.412884682,-1.303970565,-1.50050359,-0.588899211,-0.987388422,-1.972053321,-2.473931188,-1.096344666,-0.993292657,-1.309573964,-1.042011133
P80455,-1.012868352,-1.316168826,-0.738986782,-0.342835637,-1.410620005,-1.435690126,-0.097841502,-0.249290602,0.3911078,0.325386415,-1.251607468,-1.108020954,-0.153831666,-0.24689185,-0.335681008,0.065434446
Q8IP94;Q9VKB0,-2.658264683,-2.233379398,-1.682418072,-1.469729452,-2.206894852,-1.018001258,-2.318541739,-1.117881307,-1.481323872,-2.425229992,-1.874930854,-1.975283173,-1.932085986,-1.970299766,-2.212500668,-1.808083667
